aluno_id,prev_created_at,prev_matematica,prev_linguagens,prev_humanas,prev_natureza,next_matematica,next_linguagens,next_humanas,next_natureza,tests_count,trend_matematica,trend_linguagens,trend_humanas,trend_natureza,rolling_mean_matematica,rolling_mean_linguagens,rolling_mean_humanas,rolling_mean_natureza
5a37ed4e-7ba3-41e9-86e2-aff4f4b021e1,2026-04-02 18:02:03.897556+00:00,28.33333333333333,31.77777777777778,32.111111111111114,30.375,30.0,32.0,30.0,23.0,1,,,,,28.33333333333333,31.77777777777778,32.111111111111114,30.375
5a37ed4e-7ba3-41e9-86e2-aff4f4b021e1,2026-04-14 23:16:24.060962+00:00,30.0,32.0,30.0,23.0,31.0,39.0,36.0,36.0,2,1.6666666666666667,0.2222222222222126,-2.1111111111111125,-7.374999999999999,29.166666666666664,31.88888888888889,31.055555555555557,26.6875
5aa85d64-c555-428b-bd7f-a226396a05dc,2026-04-02 18:03:24.419731+00:00,32.0,35.4,38.6,29.75,33.0,36.0,37.0,30.0,1,,,,,32.0,35.4,38.6,29.75
5aa85d64-c555-428b-bd7f-a226396a05dc,2026-04-13 18:07:19.145260+00:00,33.0,36.0,37.0,30.0,35.0,,,,2,0.999999999999999,0.599999999999993,-1.6000000000000065,0.24999999999999475,32.5,35.7,37.8,29.875
5aa85d64-c555-428b-bd7f-a226396a05dc,2026-05-02 19:45:25.294279+00:00,35.0,,,,32.0,35.0,38.0,28.0,3,1.4999999999999958,0.599999999999993,-1.6000000000000065,0.24999999999999475,33.333333333333336,35.7,37.8,29.875
5aa85d64-c555-428b-bd7f-a226396a05dc,2026-05-02 19:46:27.182973+00:00,32.0,35.0,38.0,28.0,35.0,37.0,37.0,20.0,4,0.19999999999999984,-0.19999999999999907,-0.30000000000000215,-0.8749999999999961,33.333333333333336,35.5,37.5,29.0
5aa85d64-c555-428b-bd7f-a226396a05dc,2026-05-17 17:42:45.220523+00:00,35.0,37.0,37.0,20.0,37.0,41.0,42.0,25.0,5,0.4999999999999945,0.3799999999999977,-0.3799999999999984,-3.124999999999998,34.0,36.0,37.5,24.0
5aa85d64-c555-428b-bd7f-a226396a05dc,2026-05-31 15:17:47.133736+00:00,37.0,41.0,42.0,25.0,,41.0,36.0,,6,0.8000000000000004,1.2199999999999975,0.6799999999999973,-1.950000000000001,34.666666666666664,37.666666666666664,39.0,24.333333333333332
5aa85d64-c555-428b-bd7f-a226396a05dc,2026-06-15 00:37:33.951213+00:00,,41.0,36.0,,,41.0,39.0,,7,0.8000000000000004,1.2857142857142825,0.028571428571425226,-1.950000000000001,36.0,39.666666666666664,38.333333333333336,22.5
5b152cab-3b5e-43c2-8491-f5c88ef7d9f5,2026-04-14 18:36:52.280730+00:00,40.0,40.0,30.0,30.0,45.0,34.0,41.0,38.0,1,,,,,40.0,40.0,30.0,30.0
5b152cab-3b5e-43c2-8491-f5c88ef7d9f5,2026-04-14 18:37:16.792677+00:00,45.0,34.0,41.0,38.0,45.0,33.0,44.0,31.0,2,4.999999999999995,-6.000000000000007,10.999999999999993,7.999999999999997,42.5,37.0,35.5,34.0
5b152cab-3b5e-43c2-8491-f5c88ef7d9f5,2026-04-14 18:37:40.313144+00:00,45.0,33.0,44.0,31.0,42.0,32.0,43.0,40.0,3,2.499999999999995,-3.4999999999999973,7.000000000000001,0.5000000000000008,43.333333333333336,35.666666666666664,38.333333333333336,33.0
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 21:38:50.786462+00:00,42.0,37.0,36.0,40.0,35.0,38.0,33.0,38.0,1,,,,,42.0,37.0,36.0,40.0
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 22:51:49.863978+00:00,35.0,38.0,33.0,38.0,35.0,38.0,33.0,38.0,2,-7.0000000000000036,0.9999999999999934,-3.0000000000000036,-2.0000000000000067,38.5,37.5,34.5,39.0
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:16:55.683994+00:00,35.0,38.0,33.0,38.0,39.0,39.0,37.0,35.0,3,-3.499999999999999,0.4999999999999927,-1.5000000000000047,-1.0000000000000024,37.333333333333336,37.666666666666664,34.0,38.666666666666664
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:19:46.375012+00:00,39.0,39.0,37.0,35.0,,36.0,37.0,,4,-0.9000000000000017,0.5999999999999948,0.29999999999999805,-1.4999999999999998,36.333333333333336,38.333333333333336,34.333333333333336,37.0
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:20:16.543035+00:00,,36.0,37.0,,38.0,,42.0,42.0,5,-0.9000000000000017,-0.1000000000000036,0.599999999999992,-1.4999999999999998,37.0,37.666666666666664,35.666666666666664,36.5
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:21:34.944560+00:00,38.0,,42.0,42.0,39.0,35.0,34.0,39.0,6,-0.40000000000000485,-0.1000000000000036,1.3142857142857138,0.09999999999999695,38.5,37.5,38.666666666666664,38.5
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:51:44.075480+00:00,39.0,35.0,34.0,39.0,,37.0,39.0,,7,-0.057142857142857696,-0.4285714285714294,0.5714285714285697,0.11428571428571435,38.5,35.5,37.666666666666664,40.5
64936158-5ae8-48cf-b5cd-c6c4d0aabcd9,2026-04-27 23:52:19.378601+00:00,,37.0,39.0,,41.0,34.0,37.0,40.0,8,-0.057142857142857696,-0.28571428571428653,0.6309523809523807,0.11428571428571435,38.5,36.0,38.333333333333336,40.5
